&##&promotion.look_at_the_gift&##&,&##&查看赠品&##&
&##&promotion.commodity_restriction&##&,&##&商品选择&##&
&##&promotion.preservation&##&,&##&保存&##&
&##&promotion.the_beginning_of_the_rule_cannot_be_empty&##&,&##&规则开始时间不能为空&##&
&##&promotion.please_restart_the_browser_and_try_again&##&,&##&请重启浏览器后再试&##&
&##&promotion.tongues&##&,&##&吐舌头&##&
&##&promotion.kuangtu&##&,&##&狂吐&##&
&##&promotion.coffee&##&,&##&咖啡&##&
&##&promotion.random_start_amount_cannot_be_empty&##&,&##&随机开始金额不能为空&##&
&##&promotion.a_survey_of_promotion_activities&##&,&##&促销活动概况&##&
&##&promotion.query_conditions_can_not_be_empty&##&,&##&查询条件不能为空&##&
&##&promotion.when_choosing_other_coupon_types&##&,&##&当选择其他发券类型时&##&
&##&promotion.merchant_product_info&##&,&##&商品信息&##&
&##&promotion.please_choose_the_limit_purchase_condition&##&,&##&请选择限购条件&##&
&##&promotion.no_single_rule_can_not_be_empty&##&,&##&免单规则不能为空&##&
&##&promotion.grimace&##&,&##&鬼脸&##&
&##&promotion.choice_of_agent_mode&##&,&##&代理商模式选择&##&
&##&promotion.the_maximum_value_of_a_coupon_must_be_greater_than_the_minimum&##&,&##&优惠券面值最大值必须大于最小值&##&
&##&promotion.the_retail_price_must_be_positive&##&,&##&零售价必须为正数&##&
&##&promotion.the_number_of_single_family_purchase&##&,&##&单用户限购数&##&
&##&promotion.the_selection_of_way&##&,&##&前台选品方式&##&
&##&promotion.voucher_password&##&,&##&领券口令&##&
&##&promotion.association_operation_success&##&,&##&关联操作成功&##&
&##&promotion.purchase_of_goods&##&,&##&限购商品&##&
&##&promotion.insert_music&##&,&##&插入音乐&##&
&##&promotion.product.price.name&##&,&##&统一零售价&##&
&##&promotion.direct_drop_promotion&##&,&##&直降促销&##&
&##&promotion.time_frame&##&,&##&时间范围&##&
&##&promotion.set_up_promotional_goods&##&,&##&设置促销商品&##&
&##&promotion.in_total&##&,&##&总共&##&
&##&promotion.picture&##&,&##&图片&##&
&##&promotion.limitation_of_payment&##&,&##&支付方式限制&##&
&##&promotion.broken&##&,&##&碎&##&
&##&promotion.receiving_address&##&,&##&收货地址&##&
&##&promotion.delete_the_whole_line&##&,&##&删除整行&##&
&##&promotion.do_you_decide_to_load_all_the_goods&##&,&##&确定加载全部商品吗&##&
&##&promotion.limit_purchase_condition&##&,&##&限购条件&##&
&##&promotion.april&##&,&##&四月&##&
&##&promotion.change_buying_ladder&##&,&##&换购阶梯&##&
&##&promotion.please_open_up_and_look_at_it&##&,&##&请展开后查看&##&
&##&promotion.time_setting&##&,&##&使用时间设置&##&
&##&promotion.a_warm_welcome&##&,&##&热烈欢迎&##&
&##&promotion.payment_channels_can_not_be_empty&##&,&##&支付渠道不能为空&##&
&##&promotion.groupon_number&##&,&##&拼团人数&##&
&##&promotion.loose_breath&##&,&##&松口气&##&
&##&promotion.editor&##&,&##&编辑器&##&
&##&promotion.be_sure_to_set_up&##&,&##&确定要设置&##&
&##&promotion.please_choose_the_delivery_channel&##&,&##&请选择投放渠道&##&
&##&promotion.marketing_promotion&##&,&##&营销推广&##&
&##&promotion.currently_not_uploaded_file&##&,&##&当前未上传文件&##&
&##&promotion.the_title_is_left_to_the_left&##&,&##&标题居左&##&
&##&promotion.task_start_time&##&,&##&任务开始时间&##&
&##&promotion.set_the_table_border_to_see&##&,&##&设置表格边线可见&##&
&##&promotion.zhang&##&,&##&张&##&
&##&promotion.non_mandatory_fields&##&,&##&非必填字段&##&
&##&promotion.within_the_number_of_digits&##&,&##&位数之内&##&
&##&promotion.participate_in_product&##&,&##&参与产品&##&
&##&promotion.time_for_entry_into_force&##&,&##&进货生效时间&##&
&##&promotion.whether_to_confirm_the_deleting_activity&##&,&##&是否确认删除活动&##&
&##&promotion.the_end_time_of_the_activity_can_not_be_empty&##&,&##&活动结束时间不能为空&##&
&##&promotion.free&##&,&##&免&##&
&##&promotion.october&##&,&##&十月&##&
&##&promotion.method_to_determine_whether_there_is_content_in_the_editor&##&,&##&方法判断编辑器里是否有内容&##&
&##&promotion.select_at_least_one_data&##&,&##&至少选中一项数据&##&
&##&promotion.monday&##&,&##&星期一&##&
&##&promotion.create_a_second_kill&##&,&##&创建秒杀活动&##&
&##&promotion.yunnan&##&,&##&云南&##&
&##&promotion.template_export&##&,&##&模板导出&##&
&##&promotion.the_end_time_of_the_active_time_must_be_greater_than_the_start_time&##&,&##&活动生效时间结束时间必须大于开始时间&##&
&##&promotion.laughing&##&,&##&偷笑&##&
&##&promotion.fixed_price&##&,&##&一口价&##&
&##&promotion.reserved_quantity&##&,&##&已预订数量&##&
&##&promotion.new_preferences&##&,&##&新增优惠&##&
&##&promotion.the_order_user_pays&##&,&##&该订单用户支付&##&
&##&promotion.determine_the_stock_of_goods_to_be_frozen_in_the_activity&##&,&##&确定要冻结活动中的商品库存&##&
&##&promotion.total_number_of_activities_can_not_be_empty&##&,&##&活动总限购数不能为空&##&
&##&promotion.winning_time&##&,&##&中奖时间&##&
&##&promotion.arbitrary_order_draw&##&,&##&任意订单抽奖&##&
&##&promotion.longitudinal_selection&##&,&##&纵向选择&##&
&##&promotion.full_shipping&##&,&##&满额包邮&##&
&##&promotion.the_number_of_reservations_must_be_a_positive_integer&##&,&##&已预订数量必须为正整数&##&
&##&promotion.the_use_conditions_must_be_the_most&##&,&##&使用条件必须为最多&##&
&##&promotion.the_selection_mode_cannot_be_empty&##&,&##&前台选品方式不能为空&##&
&##&promotion.look_at_the_notes&##&,&##&查看备注&##&
&##&promotion.thank_you_for_participation&##&,&##&谢谢参与&##&
&##&promotion.presell_down_price_not_null&##&,&##&定金不能为零&##&
&##&promotion.purchase_restrictions&##&,&##&购买限制&##&
&##&promotion.promotion_name_cannot_be_empty&##&,&##&促销名称不能为空&##&
&##&promotion.if_not_delivered_according_to_the_agreed_time&##&,&##&如未按约定时间发货&##&
&##&promotion.limit&##&,&##&限&##&
&##&promotion.to_be_audited&##&,&##&待审核&##&
&##&promotion.i_love_milk&##&,&##&我爱牛奶&##&
&##&promotion.the_starting_price_of_the_selected_commodity_is_too_large&##&,&##&选中商品起始价输入太大&##&
&##&promotion.operation&##&,&##&操作&##&
&##&promotion.number_after_sharing&##&,&##&分享后可领个数&##&
&##&promotion.purchase_price&##&,&##&换购价格&##&
&##&promotion.the_lowest_price_of_the_selected_item_is_too_big&##&,&##&选中商品最低价输入太大&##&
&##&promotion.fixed_side_side&##&,&##&固定侧边&##&
&##&promotion.make_the_table_content_sort&##&,&##&使表格内容可排序&##&
&##&promotion.gift_class&##&,&##&赠送类&##&
&##&promotion.the_upper_limit_of_the_number_of_users_daily_prizes_can_not_be_empty&##&,&##&用户每日抽奖次数上限不能为空&##&
&##&promotion.incorrectly&##&,&##&宽高不正确&##&
&##&promotion.gluttonous&##&,&##&贪吃&##&
&##&promotion.help_users_generate_baidu_maps_under_visual_operations&##&,&##&帮助用户在可视化操作下生成百度地图&##&
&##&promotion.edit&##&,&##&编辑&##&
&##&promotion.screenshot_upload_failure&##&,&##&截图上传失败&##&
&##&promotion.order_has_been_paid&##&,&##&订单已支付&##&
&##&promotion.nanjing&##&,&##&南京&##&
&##&promotion.have_searched_the_head_of_the_article&##&,&##&已经搜索到文章头部&##&
&##&promotion.time_period&##&,&##&个时间段&##&
&##&promotion.participants&##&,&##&参与对象&##&
&##&promotion.official_script&##&,&##&隶书&##&
&##&promotion.end&##&,&##&结束&##&
&##&promotion.you_can_also_use_it&##&,&##&您还可以使用&##&
&##&promotion.money_voucher&##&,&##&金额券&##&
&##&promotion.fixed_amount&##&,&##&固定金额&##&
&##&promotion.please_try_another_key_word&##&,&##&请换一个关键词试试&##&
&##&promotion.award_grade&##&,&##&奖项等级&##&
&##&promotion.agreement&##&,&##&协议&##&
&##&promotion.the_random_amount_of_coupons_must_be_the_most&##&,&##&优惠券随机金额必须为最多&##&
&##&promotion.revolving_to_the_left&##&,&##&向左旋转&##&
&##&promotion.commodity_purchase_and_purchase_activities&##&,&##&商品加价购活动&##&
&##&promotion.the_original_purchase_price&##&,&##&原进价&##&
&##&promotion.clear_selection&##&,&##&清除选择&##&
&##&promotion.code&##&,&##&编码&##&
&##&promotion.attributes&##&,&##&的属性&##&
&##&promotion.conversion_rate&##&,&##&转化率&##&
&##&promotion.commodity_prices_are&##&,&##&商品价格分别为&##&
&##&promotion.place&##&,&##&处&##&
&##&promotion.the_number_of_single_order_limited_vouchers_should_be_limited_to&##&,&##&单个订单限用券数应限制在&##&
&##&promotion.rotate&##&,&##&旋转&##&
&##&promotion.stock&##&,&##&库存&##&
&##&promotion.character_descent&##&,&##&字符降序&##&
&##&promotion.water&##&,&##&水&##&
&##&promotion.stock_pressure_can_be_reduced_by_using_the_pre_sale_function&##&,&##&通过使用预售功能可以降低库存压力&##&
&##&promotion.whether_or_not_he_has_to_choose&##&,&##&是否排他必须选择&##&
&##&promotion.axis_consistency&##&,&##&轴一致&##&
&##&promotion.deposit_payment_start_time_input_is_incorrect&##&,&##&定金支付开始时间输入有误&##&
&##&promotion.the_number_of_members_of_the_group_cannot_be_empty&##&,&##&成团人数不能为空&##&
&##&promotion.full_recruitment&##&,&##&满量招募&##&
&##&promotion.activity_start_time&##&,&##&活动开始时间&##&
&##&promotion.edge&##&,&##&边&##&
&##&promotion.downwards_merge&##&,&##&向下合并&##&
&##&promotion.do_you_confirm_that_the_activity_is_closed&##&,&##&是否确认关闭该活动&##&
&##&promotion.preferential_methods_include_full_volume_reduction_and_full_volume_discount&##&,&##&优惠方式包括满量减和满量折&##&
&##&promotion.red&##&,&##&红&##&
&##&promotion.user_cell_phone_number_input_is_illegal&##&,&##&用户手机号输入不合法&##&
&##&promotion.the_input_of_the_total_number_of_individual_purchases_is_mistaken&##&,&##&个人限购总数输入有误&##&
&##&promotion.single_donation_number&##&,&##&单次赠送数量&##&
&##&promotion.gift_coupon&##&,&##&赠优惠券&##&
&##&promotion.clear_the_word_number&##&,&##&清除字号&##&
&##&promotion.no_need&##&,&##&不要不要&##&
&##&promotion.please_apply_for_baidu_first&##&,&##&请各位站长首先申请百度&##&
&##&promotion.setting_out_the_scope_of_the_goods&##&,&##&设置排除商品范围&##&
&##&promotion.set_the_ritual_gold_card_rules&##&,&##&设置礼金卡规则&##&
&##&promotion.enter_your_desired_position_here&##&,&##&此处键入您的期望职位&##&
&##&promotion.a_maximum_of_two_decimal_places_in_a_fixed_amount&##&,&##&固定金额最多保留两位小数&##&
&##&promotion.associated_activity&##&,&##&关联活动&##&
&##&promotion.the_time_limit_buying_activity_by_setting_up_the_commodity_super_low_price&##&,&##&通过设置商品超低价的限时抢购活动&##&
&##&promotion.additional_promotional_goods&##&,&##&追加促销商品&##&
&##&promotion.the_settlement_price_of_the_active_commodity_cannot_be_empty&##&,&##&活动商品结算价不能为空&##&
&##&promotion.key_entry_project_introduction&##&,&##&键入项目简介&##&
&##&promotion.popup&##&,&##&弹窗&##&
&##&promotion.collage_state&##&,&##&拼团状态&##&
&##&promotion.promotion_rules_cannot_be_empty&##&,&##&促销规则不能为空&##&
&##&promotion.the_price_of_the_goods_is_not_empty.&##&,&##&砍价商品不能为空&##&
&##&promotion.theme_color&##&,&##&主题颜色&##&
&##&promotion.upload&##&,&##&上传&##&
&##&promotion.selected_site&##&,&##&已选地点&##&
&##&promotion.store_number&##&,&##&商家编号&##&
&##&promotion.are_you_sure_you_want_to_delete_the_selected_items&##&,&##&是否确认删除此选品&##&
&##&promotion.ogle&##&,&##&抛媚眼&##&
&##&promotion.large&##&,&##&大&##&
&##&promotion.file_type_is_not_allowed&##&,&##&文件类型不允许&##&
&##&promotion.retry_uploading&##&,&##&重试上传&##&
&##&promotion.the_promotion_rules_must_be_the_most&##&,&##&促销规则必须为最多&##&
&##&promotion.use_records&##&,&##&使用记录&##&
&##&promotion.delete_the_name_of_the_table&##&,&##&删除表格名称&##&
&##&promotion.on_trial&##&,&##&试用&##&
&##&promotion.online_picture&##&,&##&在线图片&##&
&##&promotion.no_authority&##&,&##&无权限&##&
&##&promotion.the_upper_limit_of_the_number_of_awards&##&,&##&奖项的次数上限&##&
&##&promotion.time_for_group_buying_activities&##&,&##&说明团购活动时间&##&
&##&promotion.whether_the_editor_gets_the_focus&##&,&##&编辑器是否获得焦点&##&
&##&promotion.create_enrolment&##&,&##&创建报名&##&
&##&promotion.new_and_old_users_have_to_choose&##&,&##&发放对象新老用户必须选择&##&
&##&promotion.an_arbitrary_picture_must_be_passed&##&,&##&任意拼图片必传&##&
&##&promotion.paste_address&##&,&##&粘贴地址&##&
&##&promotion.upgrade_target&##&,&##&升级目标&##&
&##&promotion.please_fill_in_it_carefully&##&,&##&请认真填写&##&
&##&promotion.date_of_card&##&,&##&生卡日期&##&
&##&promotion.activity_label&##&,&##&活动标签&##&
&##&promotion.the_first_step&##&,&##&第一步&##&
&##&promotion.use_of_voucher_type&##&,&##&的发券类型使用&##&
&##&promotion.haggle_time&##&,&##&砍价活动时间&##&
&##&promotion.one_cannot_choose_more_than_one&##&,&##&单次不能选择超过&##&
&##&promotion.low_price_input_is_mistaken&##&,&##&砍价最低价输入有误&##&
&##&promotion.the_picture_on_the_right_is_the_picture&##&,&##&右边是图片&##&
&##&promotion.enter_your_address&##&,&##&键入您的地址&##&
&##&promotion.zhangjiang_hotel&##&,&##&张江店&##&
&##&promotion.market_value&##&,&##&市场价&##&
&##&promotion.a_total_replacement&##&,&##&总共替换了&##&
&##&promotion.edit_prompt&##&,&##&编辑提示&##&
&##&promotion.enter&##&,&##&入&##&
&##&promotion.sweat&##&,&##&汗水&##&
&##&promotion.front&##&,&##&前&##&
&##&promotion.starting_price&##&,&##&起始价&##&
&##&promotion.file_size_beyond_the_limit&##&,&##&文件大小超出限制&##&
&##&promotion.no_promotion_type&##&,&##&未接收到促销类型&##&
&##&promotion.activity_name&##&,&##&活动名称&##&
&##&promotion.the_interval_of_query_time_is_not_more_than_one_month&##&,&##&查询时间的区间不能超过一个月&##&
&##&promotion.load_failure&##&,&##&加载失败&##&
&##&promotion.promotional_goods_cannot_be_empty&##&,&##&促销商品不能为空&##&
&##&promotion.volume_setting_and_price_can_not_be_empty&##&,&##&批量设置库存和价格不能都为空&##&
&##&promotion.full_price_reduction&##&,&##&满量减价&##&
&##&promotion.save_success&##&,&##&保存成功&##&
&##&promotion.new_label_success&##&,&##&新建标签成功&##&
&##&promotion.province&##&,&##&所属省份&##&
&##&promotion.the_visible_rich_text_developed_by_the_front-end_research_and_development_department&##&,&##&前端研发部开发的所见即所得富文本&##&
&##&promotion.successfully_uploaded&##&,&##&已成功上传&##&
&##&promotion.table_drag_must_be_introduced&##&,&##&表格拖动必须引入&##&
&##&promotion.valid_time_of_coupons&##&,&##&优惠券有效时间&##&
&##&promotion.data_processing_anomaly&##&,&##&数据处理异常&##&
&##&promotion.within_a_character&##&,&##&个字符以内&##&
&##&promotion.the_limit_of_the_price_of_the_stock_can_not_be_empty&##&,&##&砍价库存限制不能为空&##&
&##&promotion.pre_sale_price_input_is_wrong&##&,&##&预售价输入有误&##&
&##&promotion.discount_coefficient&##&,&##&折扣系数&##&
&##&promotion.cut_down_activity_to_create_success&##&,&##&砍价活动创建成功&##&
&##&promotion.do_you_decide_whether_to_delete&##&,&##&是否确定删除&##&
&##&promotion.whether_or_not_to_overlay_the_application&##&,&##&是否叠加应用&##&
&##&promotion.number_of_participants&##&,&##&参与人数&##&
&##&promotion.the_end_time_of_the_registration_is_not_empty&##&,&##&报名活动结束时间不能为空&##&
&##&promotion.link_address&##&,&##&链接地址&##&
&##&promotion.make_the_editor_focus&##&,&##&使编辑器获得焦点&##&
&##&promotion.related_promotion_type&##&,&##&关联促销类型&##&
&##&promotion.just&##&,&##&正&##&
&##&promotion.file_transfer_interruption&##&,&##&文件传输中断&##&
&##&promotion.select_the_lowest_price_to_set_the_input_is_incorrect&##&,&##&选中商品最低价设置输入有误&##&
&##&promotion.the_success_of_collage_activities&##&,&##&拼团活动创建成功&##&
&##&promotion.query_results_show&##&,&##&查询结果显示&##&
&##&promotion.remove_the_failed_file&##&,&##&移除失败文件&##&
&##&promotion.after_sharing,_the_number_of_numbers_must_be_positive_integers&##&,&##&分享后可领个数必须为正整数&##&
