&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&promotion.selective_background_interlacing&##&,&##&selective background interlacing&##&
&##&promotion.come&##&,&##&come&##&
&##&promotion.a_commercial_prepaid_card&##&,&##&a commercial prepaid card&##&
&##&promotion.commodity_restriction&##&,&##&commodity select&##&
&##&promotion.preservation&##&,&##&preservation&##&
&##&promotion.the_beginning_of_the_rule_cannot_be_empty&##&,&##&the beginning of the rule cannot be empty&##&
&##&promotion.please_restart_the_browser_and_try_again&##&,&##&please restart the browser and try again&##&
&##&promotion.tongues&##&,&##&tongues&##&
&##&promotion.kuangtu&##&,&##&kuangtu&##&
&##&promotion.coffee&##&,&##&coffee&##&
&##&promotion.random_start_amount_cannot_be_empty&##&,&##&random start amount cannot be empty&##&
&##&promotion.a_survey_of_promotion_activities&##&,&##&a survey of promotion activities&##&
&##&promotion.query_conditions_can_not_be_empty&##&,&##&query conditions can not be empty&##&
&##&promotion.when_choosing_other_coupon_types&##&,&##&when choosing other coupon types&##&
&##&promotion.merchant_product_info&##&,&##&merchant product info&##&
&##&promotion.please_choose_the_limit_purchase_condition&##&,&##&please choose the limit purchase condition&##&
&##&promotion.no_single_rule_can_not_be_empty&##&,&##&no single rule can not be empty&##&
&##&promotion.grimace&##&,&##&grimace&##&
&##&promotion.choice_of_agent_mode&##&,&##&choice of agent mode&##&
&##&promotion.the_maximum_value_of_a_coupon_must_be_greater_than_the_minimum&##&,&##&the maximum value of a coupon must be greater than the minimum&##&
&##&promotion.the_retail_price_must_be_positive&##&,&##&the retail price must be positive&##&
&##&promotion.the_number_of_single_family_purchase&##&,&##&the number of single family purchase&##&
&##&promotion.the_selection_of_way&##&,&##&the selection of way&##&
&##&promotion.voucher_password&##&,&##&voucher password&##&
&##&promotion.association_operation_success&##&,&##&association operation success&##&
&##&promotion.purchase_of_goods&##&,&##&purchase of goods&##&
&##&promotion.insert_music&##&,&##&insert music&##&
&##&promotion.product.price.name&##&,&##&commodity price&##&
&##&promotion.direct_drop_promotion&##&,&##&direct drop promotion&##&
&##&promotion.time_frame&##&,&##&time frame&##&
&##&promotion.set_up_promotional_goods&##&,&##&set up promotional goods&##&
&##&promotion.in_total&##&,&##&in total&##&
&##&promotion.picture&##&,&##&picture&##&
&##&promotion.limitation_of_payment&##&,&##&limitation of payment&##&
&##&promotion.broken&##&,&##&broken&##&
&##&promotion.receiving_address&##&,&##&receiving address&##&
&##&promotion.delete_the_whole_line&##&,&##&delete the whole line&##&
&##&promotion.do_you_decide_to_load_all_the_goods&##&,&##&do you decide to load all the goods&##&
&##&promotion.limit_purchase_condition&##&,&##&limit purchase condition&##&
&##&promotion.april&##&,&##&april&##&
&##&promotion.change_buying_ladder&##&,&##&change buying ladder&##&
&##&promotion.please_open_up_and_look_at_it&##&,&##&please open up and look at it&##&
&##&promotion.time_setting&##&,&##&use time setting&##&
&##&promotion.a_warm_welcome&##&,&##&a warm welcome&##&
&##&promotion.payment_channels_can_not_be_empty&##&,&##&payment channels can not be empty&##&
&##&promotion.groupon_number&##&,&##&groupon number&##&
&##&promotion.loose_breath&##&,&##&loose breath&##&
&##&promotion.editor&##&,&##&editor&##&
&##&promotion.be_sure_to_set_up&##&,&##&be sure to set up&##&
&##&promotion.please_choose_the_delivery_channel&##&,&##&please choose the delivery channel&##&
&##&promotion.marketing_promotion&##&,&##&marketing promotion&##&
&##&promotion.currently_not_uploaded_file&##&,&##&currently not uploaded file&##&
&##&promotion.the_title_is_left_to_the_left&##&,&##&the title is left to the left&##&
&##&promotion.task_start_time&##&,&##&task start time&##&
&##&promotion.set_the_table_border_to_see&##&,&##&set the table border to see&##&
&##&promotion.zhang&##&,&##&zhang&##&
&##&promotion.non_mandatory_fields&##&,&##&non mandatory fields&##&
&##&promotion.within_the_number_of_digits&##&,&##&within the number of digits&##&
&##&promotion.participate_in_product&##&,&##&participate in product&##&
&##&promotion.time_for_entry_into_force&##&,&##&time for entry into force&##&
&##&promotion.whether_to_confirm_the_deleting_activity&##&,&##&whether to confirm the deleting activity&##&
&##&promotion.the_end_time_of_the_activity_can_not_be_empty&##&,&##&the end time of the activity can not be empty&##&
&##&promotion.free&##&,&##&free&##&
&##&promotion.october&##&,&##&october&##&
&##&promotion.method_to_determine_whether_there_is_content_in_the_editor&##&,&##&method to determine whether there is content in the editor&##&
&##&promotion.select_at_least_one_data&##&,&##&select at least one data&##&
&##&promotion.monday&##&,&##&monday&##&
&##&promotion.create_a_second_kill&##&,&##&create a second kill&##&
&##&promotion.yunnan&##&,&##&yunnan&##&
&##&promotion.template_export&##&,&##&template export&##&
&##&promotion.the_end_time_of_the_active_time_must_be_greater_than_the_start_time&##&,&##&the end time of the active time must be greater than the start time&##&
&##&promotion.laughing&##&,&##&laughing&##&
&##&promotion.fixed_price&##&,&##&fixed price&##&
&##&promotion.reserved_quantity&##&,&##&reserved quantity&##&
&##&promotion.new_preferences&##&,&##&new preferences&##&
&##&promotion.the_order_user_pays&##&,&##&the order user pays&##&
&##&promotion.determine_the_stock_of_goods_to_be_frozen_in_the_activity&##&,&##&determine the stock of goods to be frozen in the activity&##&
&##&promotion.total_number_of_activities_can_not_be_empty&##&,&##&total number of activities can not be empty&##&
&##&promotion.winning_time&##&,&##&winning time&##&
&##&promotion.arbitrary_order_draw&##&,&##&arbitrary order draw&##&
&##&promotion.longitudinal_selection&##&,&##&longitudinal selection&##&
&##&promotion.full_shipping&##&,&##&full shipping&##&
&##&promotion.the_number_of_reservations_must_be_a_positive_integer&##&,&##&the number of reservations must be a positive integer&##&
&##&promotion.the_use_conditions_must_be_the_most&##&,&##&the use conditions must be the most&##&
&##&promotion.the_selection_mode_cannot_be_empty&##&,&##&the selection mode cannot be empty&##&
&##&promotion.look_at_the_notes&##&,&##&look at the notes&##&
&##&promotion.thank_you_for_participation&##&,&##&thank you for participation&##&
&##&promotion.presell_down_price_not_null&##&,&##&presell down price not null&##&
&##&promotion.purchase_restrictions&##&,&##&purchase restrictions&##&
&##&promotion.promotion_name_cannot_be_empty&##&,&##&promotion name cannot be empty&##&
&##&promotion.if_not_delivered_according_to_the_agreed_time&##&,&##&if not delivered according to the agreed time&##&
&##&promotion.limit&##&,&##&limit&##&
&##&promotion.to_be_audited&##&,&##&to be audited&##&
&##&promotion.i_love_milk&##&,&##&i love milk&##&
&##&promotion.the_starting_price_of_the_selected_commodity_is_too_large&##&,&##&the starting price of the selected commodity is too large&##&
&##&promotion.operation&##&,&##&operation&##&
&##&promotion.number_after_sharing&##&,&##&number after sharing&##&
&##&promotion.purchase_price&##&,&##&purchase price&##&
&##&promotion.the_lowest_price_of_the_selected_item_is_too_big&##&,&##&the lowest price of the selected item is too big&##&
&##&promotion.fixed_side_side&##&,&##&fixed side side&##&
&##&promotion.make_the_table_content_sort&##&,&##&make the table content sort&##&
&##&promotion.gift_class&##&,&##&gift class&##&
&##&promotion.the_upper_limit_of_the_number_of_users_daily_prizes_can_not_be_empty&##&,&##&the upper limit of the number of users daily prizes can not be empty&##&
&##&promotion.incorrectly&##&,&##&incorrectly&##&
&##&promotion.gluttonous&##&,&##&gluttonous&##&
&##&promotion.help_users_generate_baidu_maps_under_visual_operations&##&,&##&help users generate baidu maps under visual operations&##&
&##&promotion.edit&##&,&##&edit&##&
&##&promotion.screenshot_upload_failure&##&,&##&screenshot upload failure&##&
&##&promotion.order_has_been_paid&##&,&##&order has been paid&##&
&##&promotion.nanjing&##&,&##&nanjing&##&
&##&promotion.have_searched_the_head_of_the_article&##&,&##&have searched the head of the article&##&
&##&promotion.time_period&##&,&##&time period&##&
&##&promotion.participants&##&,&##&participants&##&
&##&promotion.official_script&##&,&##&official script&##&
&##&promotion.end&##&,&##&end&##&
&##&promotion.you_can_also_use_it&##&,&##&you can also use it&##&
&##&promotion.money_voucher&##&,&##&money voucher&##&
&##&promotion.fixed_amount&##&,&##&fixed amount&##&
&##&promotion.please_try_another_key_word&##&,&##&please try another key word&##&
&##&promotion.award_grade&##&,&##&award grade&##&
&##&promotion.agreement&##&,&##&agreement&##&
&##&promotion.the_random_amount_of_coupons_must_be_the_most&##&,&##&the random amount of coupons must be the most&##&
&##&promotion.revolving_to_the_left&##&,&##&revolving to the left&##&
&##&promotion.commodity_purchase_and_purchase_activities&##&,&##&commodity purchase and purchase activities&##&
&##&promotion.the_original_purchase_price&##&,&##&the original purchase price&##&
&##&promotion.clear_selection&##&,&##&clear selection&##&
&##&promotion.code&##&,&##&code&##&
&##&promotion.attributes&##&,&##&attributes&##&
&##&promotion.conversion_rate&##&,&##&conversion rate&##&
&##&promotion.commodity_prices_are&##&,&##&commodity prices are&##&
&##&promotion.place&##&,&##&place&##&
&##&promotion.the_number_of_single_order_limited_vouchers_should_be_limited_to&##&,&##&the number of single order limited vouchers should be limited to&##&
&##&promotion.rotate&##&,&##&rotate&##&
&##&promotion.stock&##&,&##&stock&##&
&##&promotion.character_descent&##&,&##&character descent&##&
&##&promotion.water&##&,&##&water&##&
&##&promotion.stock_pressure_can_be_reduced_by_using_the_pre_sale_function&##&,&##&stock pressure can be reduced by using the pre sale function&##&
&##&promotion.whether_or_not_he_has_to_choose&##&,&##&whether or not he has to choose&##&
&##&promotion.axis_consistency&##&,&##&axis consistency&##&
&##&promotion.deposit_payment_start_time_input_is_incorrect&##&,&##&deposit payment start time input is incorrect&##&
&##&promotion.the_number_of_members_of_the_group_cannot_be_empty&##&,&##&the number of members of the group cannot be empty&##&
&##&promotion.full_recruitment&##&,&##&full recruitment&##&
&##&promotion.activity_start_time&##&,&##&activity start time&##&
&##&promotion.edge&##&,&##&edge&##&
&##&promotion.downwards_merge&##&,&##&downwards merge&##&
&##&promotion.do_you_confirm_that_the_activity_is_closed&##&,&##&do you confirm that the activity is closed&##&
&##&promotion.preferential_methods_include_full_volume_reduction_and_full_volume_discount&##&,&##&preferential methods include full volume reduction and full volume discount&##&
&##&promotion.red&##&,&##&red&##&
&##&promotion.user_cell_phone_number_input_is_illegal&##&,&##&user cell phone number input is illegal&##&
&##&promotion.the_input_of_the_total_number_of_individual_purchases_is_mistaken&##&,&##&the input of the total number of individual purchases is mistaken&##&
&##&promotion.single_donation_number&##&,&##&single donation number&##&
&##&promotion.gift_coupon&##&,&##&gift coupon&##&
&##&promotion.clear_the_word_number&##&,&##&clear the word number&##&
&##&promotion.no_need&##&,&##&no need&##&
&##&promotion.please_apply_for_baidu_first&##&,&##&please apply for baidu first&##&
&##&promotion.setting_out_the_scope_of_the_goods&##&,&##&setting out the scope of the goods&##&
&##&promotion.set_the_ritual_gold_card_rules&##&,&##&set the ritual gold card rules&##&
&##&promotion.enter_your_desired_position_here&##&,&##&enter your desired position here&##&
&##&promotion.a_maximum_of_two_decimal_places_in_a_fixed_amount&##&,&##&a maximum of two decimal places in a fixed amount&##&
&##&promotion.associated_activity&##&,&##&associated activity&##&
&##&promotion.the_time_limit_buying_activity_by_setting_up_the_commodity_super_low_price&##&,&##&the time limit buying activity by setting up the commodity super low price&##&
&##&promotion.additional_promotional_goods&##&,&##&additional promotional goods&##&
&##&promotion.the_settlement_price_of_the_active_commodity_cannot_be_empty&##&,&##&the settlement price of the active commodity cannot be empty&##&
&##&promotion.key_entry_project_introduction&##&,&##&key entry project introduction&##&
&##&promotion.popup&##&,&##&popup&##&
&##&promotion.collage_state&##&,&##&collage state&##&
&##&promotion.promotion_rules_cannot_be_empty&##&,&##&promotion rules cannot be empty&##&
&##&promotion.the_price_of_the_goods_is_not_empty.&##&,&##&the price of the goods is not empty.&##&
&##&promotion.theme_color&##&,&##&theme color&##&
&##&promotion.upload&##&,&##&upload&##&
&##&promotion.selected_site&##&,&##&selected site&##&
&##&promotion.store_number&##&,&##&store number&##&
&##&promotion.are_you_sure_you_want_to_delete_the_selected_items&##&,&##&are you sure you want to delete the selected items&##&
&##&promotion.ogle&##&,&##&ogle&##&
&##&promotion.large&##&,&##&large&##&
&##&promotion.file_type_is_not_allowed&##&,&##&file type is not allowed&##&
&##&promotion.retry_uploading&##&,&##&retry uploading&##&
&##&promotion.the_promotion_rules_must_be_the_most&##&,&##&the promotion rules must be the most&##&
&##&promotion.use_records&##&,&##&use records&##&
&##&promotion.delete_the_name_of_the_table&##&,&##&delete the name of the table&##&
&##&promotion.on_trial&##&,&##&on trial&##&
&##&promotion.online_picture&##&,&##&online picture&##&
&##&promotion.no_authority&##&,&##&no authority&##&
&##&promotion.the_upper_limit_of_the_number_of_awards&##&,&##&the upper limit of the number of awards&##&
&##&promotion.time_for_group_buying_activities&##&,&##&time for group buying activities&##&
&##&promotion.whether_the_editor_gets_the_focus&##&,&##&whether the editor gets the focus&##&
&##&promotion.create_enrolment&##&,&##&create enrolment&##&
&##&promotion.new_and_old_users_have_to_choose&##&,&##&new and old users have to choose&##&
&##&promotion.an_arbitrary_picture_must_be_passed&##&,&##&an arbitrary picture must be passed&##&
&##&promotion.paste_address&##&,&##&paste address&##&
